team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
Chicago Red Stars,CHI,2022,2022-08-20 23:00:00 UTC,0,4,1.7256,2.4335,False
North Carolina Courage,NC,2022,2022-08-20 23:00:00 UTC,4,0,2.4335,1.7256,False
OL Reign,RGN,2022,2022-06-19 02:00:00 UTC,1,0,1.1553,0.42610000000000003,False
Angel City FC,LA,2022,2022-06-19 02:00:00 UTC,0,1,0.42610000000000003,1.1553,False
OL Reign,RGN,2020,2020-07-19 02:00:00 UTC,0,0,0.9717,1.0912,True
Chicago Red Stars,CHI,2020,2020-07-19 02:00:00 UTC,0,0,1.0912,0.9717,True
Chicago Red Stars,CHI,2020,2020-07-05 16:30:00 UTC,0,1,0.6373,1.4827,False
North Carolina Courage,NC,2020,2020-07-05 16:30:00 UTC,1,0,1.4827,0.6373,False
Chicago Red Stars,CHI,2017,2017-04-22 20:00:00 UTC,1,0,2.5245,0.6748000000000001,False
FC Kansas City,KC,2017,2017-04-22 20:00:00 UTC,0,1,0.6748000000000001,2.5245,False
Houston Dash,HOU,2017,2017-09-09 23:30:00 UTC,0,1,0.5965,1.4924,False
North Carolina Courage,NC,2017,2017-09-09 23:30:00 UTC,1,0,1.4924,0.5965,False
Portland Thorns FC,POR,2017,2017-06-24 23:00:00 UTC,0,1,0.5563,1.5079,False
Washington Spirit,WAS,2017,2017-06-24 23:00:00 UTC,1,0,1.5079,0.5563,False
Chicago Red Stars,CHI,2016,2016-07-02 00:00:00 UTC,0,2,0.9683,3.1986,False
Western New York Flash,WNY,2016,2016-07-02 00:00:00 UTC,2,0,3.1986,0.9683,False
OL Reign,RGN,2016,2016-09-12 02:00:00 UTC,2,0,1.3684,1.1507,False
Washington Spirit,WAS,2016,2016-09-12 02:00:00 UTC,0,2,1.1507,1.3684,False
Kansas City Current,KC,2021,2021-10-17 00:00:00 UTC,1,1,0.5867,1.7901,False
Chicago Red Stars,CHI,2021,2021-10-17 00:00:00 UTC,1,1,1.7901,0.5867,False
Orlando Pride,ORL,2021,2021-07-31 23:00:00 UTC,1,1,0.9099,1.1525,False
North Carolina Courage,NC,2021,2021-07-31 23:00:00 UTC,1,1,1.1525,0.9099,False
Kansas City Current,KC,2021,2021-05-27 00:00:00 UTC,0,2,1.0274,1.5394,False
Chicago Red Stars,CHI,2021,2021-05-27 00:00:00 UTC,2,0,1.5394,1.0274,False
Portland Thorns FC,POR,2019,2019-08-04 03:00:00 UTC,1,1,2.3827,0.4988,False
NJ/NY Gotham FC,NJY,2019,2019-08-04 03:00:00 UTC,1,1,0.4988,2.3827,False
Chicago Red Stars,CHI,2019,2019-05-12 22:00:00 UTC,3,1,1.7042000000000002,1.7189999999999999,False
North Carolina Courage,NC,2019,2019-05-12 22:00:00 UTC,1,3,1.7189999999999999,1.7042000000000002,False
Houston Dash,HOU,2018,2018-03-31 00:00:00 UTC,0,0,0.3614,0.9538000000000001,False
Utah Royals FC,UTA,2018,2018-03-31 00:00:00 UTC,0,0,0.9538000000000001,0.3614,False
Chicago Red Stars,CHI,2018,2018-09-08 19:30:00 UTC,1,2,1.1893,2.1843,False
Utah Royals FC,UTA,2018,2018-09-08 19:30:00 UTC,2,1,2.1843,1.1893,False
Utah Royals FC,UTA,2018,2018-06-16 23:00:00 UTC,1,0,0.3148,1.3797000000000001,False
North Carolina Courage,NC,2018,2018-06-16 23:00:00 UTC,0,1,1.3797000000000001,0.3148,False
Portland Thorns FC,POR,2017,2017-10-14 20:30:00 UTC,1,0,0.38530000000000003,0.9778,True
North Carolina Courage,NC,2017,2017-10-14 20:30:00 UTC,0,1,0.9778,0.38530000000000003,True
Chicago Red Stars,CHI,2019,2019-08-04 00:00:00 UTC,2,0,2.173,1.3349,False
Utah Royals FC,UTA,2019,2019-08-04 00:00:00 UTC,0,2,1.3349,2.173,False
OL Reign,RGN,2019,2019-05-18 20:00:00 UTC,1,1,2.5027,0.9490000000000001,False
NJ/NY Gotham FC,NJY,2019,2019-05-18 20:00:00 UTC,1,1,0.9490000000000001,2.5027,False
Houston Dash,HOU,2018,2018-09-08 23:30:00 UTC,0,5,1.195,2.7857000000000003,False
North Carolina Courage,NC,2018,2018-09-08 23:30:00 UTC,5,0,2.7857000000000003,1.195,False
OL Reign,RGN,2018,2018-06-16 23:00:00 UTC,0,0,1.9523000000000001,1.5085000000000002,False
Washington Spirit,WAS,2018,2018-06-16 23:00:00 UTC,0,0,1.5085000000000002,1.9523000000000001,False
Chicago Red Stars,CHI,2018,2018-04-01 00:15:00 UTC,2,3,1.0421,1.8486,False
Portland Thorns FC,POR,2018,2018-04-01 00:15:00 UTC,3,2,1.8486,1.0421,False
Houston Dash,HOU,2022,2022-08-21 02:00:00 UTC,1,3,1.3764,1.8734000000000002,False
San Diego Wave FC,SD,2022,2022-08-21 02:00:00 UTC,3,1,1.8734000000000002,1.3764,False
Portland Thorns FC,POR,2022,2022-06-19 19:00:00 UTC,6,0,2.8816,0.5225000000000001,False
Orlando Pride,ORL,2022,2022-06-19 19:00:00 UTC,0,6,0.5225000000000001,2.8816,False
Washington Spirit,WAS,2016,2016-07-02 23:00:00 UTC,2,0,0.8296,1.5102,False
FC Kansas City,KC,2016,2016-07-02 23:00:00 UTC,0,2,1.5102,0.8296,False
Orlando Pride,ORL,2016,2016-09-24 21:00:00 UTC,1,2,0.38330000000000003,1.4962,False
FC Kansas City,KC,2016,2016-09-24 21:00:00 UTC,2,1,1.4962,0.38330000000000003,False
OL Reign,RGN,2017,2017-09-08 00:00:00 UTC,1,1,0.45370000000000005,1.3377,False
Orlando Pride,ORL,2017,2017-09-08 00:00:00 UTC,1,1,1.3377,0.45370000000000005,False
Chicago Red Stars,CHI,2017,2017-06-25 22:00:00 UTC,2,1,0.7374,0.4817,False
NJ/NY Gotham FC,NJY,2017,2017-06-25 22:00:00 UTC,1,2,0.4817,0.7374,False
Houston Dash,HOU,2017,2017-04-23 02:00:00 UTC,1,5,0.9512,2.3366,False
OL Reign,RGN,2017,2017-04-23 02:00:00 UTC,5,1,2.3366,0.9512,False
Houston Dash,HOU,2020,2020-07-22 16:30:00 UTC,1,0,0.8753000000000001,0.7167,True
Portland Thorns FC,POR,2020,2020-07-22 16:30:00 UTC,0,1,0.7167,0.8753000000000001,True
Houston Dash,HOU,2020,2020-07-05 02:00:00 UTC,2,0,0.8998,0.4782,False
OL Reign,RGN,2020,2020-07-05 02:00:00 UTC,0,2,0.4782,0.8998,False
Kansas City Current,KC,2021,2021-08-01 19:00:00 UTC,0,1,1.5442,1.8433000000000002,False
